Location;GDP growth (annual %) in 2012;GDP (current US$)in 2012;GDP per capita (current US$) in 2012;Internet users (per 100 people) in 2012;Life expectancy at birth, total (years) in 2012;Agriculture, value added (% of GDP) in 2012;Population (Total) in 2012;Imports of goods and services (% of GDP) in 2012
Hong Kong SAR, China;1.5486049594;262630086122.428;36707.8643281844;72.9;83.4804878049;0.0564482498;7154600;224.4304548114
Hungary;-1.7;124600486886.062;12560.0746107916;70.5799981538;75.0634146341;;9920362;
Iceland;1.4629593562;13586213061.2658;42362.1305493515;96.2097995546;82.9170731707;;320716;53.2842970293
India;4.7362796354;1858744737180.09;1503.0037026225;12.5800609139;66.2108536585;17.5199451694;1236686732;30.7361169171
Indonesia;6.2636705098;876719347689.156;3551.4237368236;14.7;70.6072439024;14.5022381476;246864191;25.8550479149
Iran, Islamic Rep.;2.9999999693;502729273637.903;6578.1215263539;27.5;73.7627317073;;76424443;
Iraq;9.1563279302;215837906603.774;6625.2232160391;7.1;69.2419268293;;32578209;29.396087554
Ireland;0.1570323256;210638080064.386;45921.6939173447;76.9199925401;80.8951219512;1.5765729098;4586897;83.5621479098
Isle of Man;;;;;;;85284;
Israel;3.351850004;257621957026.894;32567.0889358313;70.8;81.7048780488;;7910500;35.9773335191
Italy;-2.3676811231;2013265404945.58;33813.8222078815;55.8299979933;82.9365853659;2.028250985;59539717;29.1784747188
Jamaica;0.7242985659;14794802080.8803;5463.7620068211;33.79;73.2824878049;6.7179903982;2707805;52.9803846306
Japan;1.446951894;5937766585287.84;46548.269637146;86.25;83.096097561;1.2172997152;127561489;16.707540318
Jordan;2.6515943436;31015239496.4411;4909.0280937704;41;73.7473902439;3.1323733656;6318000;74.2647536307
Kazakhstan;5.0000000003;203517198088.691;12120.3053397012;53.3156691222;69.61;4.6655097213;16791425;30.3321998183
Kenya;4.5525536832;40264403584.5578;932.5182291789;32.1;61.0831707317;29.8763812586;43178141;44.9727841708
Kiribati;2.81;174984468.834127;1736.1981707194;10.7467976842;68.5323414634;;100786;105.9171597633
Korea, Dem. Rep.;;;;0;69.5006341463;;24763188;
Korea, Rep.;2.2923824264;1222807167488.95;24453.9713480439;84.0732264957;81.3682926829;2.4591453581;50004441;53.5459701598
Kosovo;2.7;6445460830.3154;3566.7309113662;;70.4975609756;14;1807106;52.7973358306
Kuwait;6.1861732325;183219310563.351;56366.5700752596;70.45;74.359;;3250496;22.9461723234
Kyrgyz Republic;-0.0888321289;6605133551.04299;1177.9735966334;21.72;70.0024390244;19.7283289221;5607200;97.7316722013
Lao PDR;8.1973117785;9386913252.55541;1412.4522429722;10.7476761891;67.8059268293;27.9808252921;6645827;48.443591357
